HBA1C	FPG	PBG	FINS	HOMA.B	HOMA.IR	TG	TC	LDLC	HDLC	FFA	ALT	AST	TBIL	BUN	EGFR	SCR	UCR	UMA	UMACRR	CKMB	HSCRP	HB	PLT	HCT	RBC	WBC	BMI	WACC	WEIGHT	DBP	SBP	Age	Sex	Dose
0.0	-0.19986436417270867	-0.6082915430810651	-0.0	-0.3492815981787714	0.006509858287953832	0.0	0.0	0.0	-0.012835568156724432	-0.0	-0.0	-0.0	-0.0	-0.0030289412666070223	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0626811107722133	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.012924405407076633	0.0	0.06803671903224946
-0.0	-0.07472567461913435	-0.3176519637562168	-0.0	-0.4946975465228941	-0.028747833439738246	0.0	0.0	0.0	0.04251287769362739	-0.0	-0.0	-0.0	0.0	0.009894154262061474	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.01664042080311642	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0334393346246586	-0.0	-0.07370644561827026
0.0	-0.0032178520170919223	0.04137339893918443	-0.0	-0.0765413570356869	-0.0007633394161869694	0.0	0.0	0.0	0.008249554071980986	0.0	-0.0	-0.0	0.0	0.006264071248390548	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0622864762867637	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.04862038224566925	-0.0	-0.07370644561827026
0.0	0.023597581458673977	0.2978200865787566	0.0	0.4448169178569343	0.026112857814352384	0.0	-0.0	-0.0	0.11894644577268465	-0.0	0.0	0.0	-0.0	-0.016532850077462857	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.37799406464628366	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.08965024068083319	-0.0	0.06803671903224946
0.0	0.07275920949757818	0.6910383409594337	0.0	1.8145486754207438	0.06608081091234516	0.0	-0.0	-0.0	0.1584810499515074	0.0	-0.0	0.0	0.0	-0.015516426833635003	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.1346361319524873	0.0	0.0	0.0	0.0	0.0	-0.0	0.012924405407076633	-0.0	0.06803671903224946
-0.0	-0.15070273613380442	-0.8305453390353611	0.0	0.41602956658067236	0.11941759407604438	0.0	-0.0	-0.0	0.037241597136451025	0.0	0.0	0.0	-0.0	-0.0025207296446930903	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.3257707677384798	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.007590523810505331	0.0	0.06803671903224946
0.0	0.010189864720791067	-0.129591059487197	-0.0	-0.11841386798297729	-0.006720434678626099	-0.0	0.0	0.0	0.04251287769362739	-0.0	-0.0	0.0	-0.0	0.004957241363469016	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.3257707677384798	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.23858862680047824	0.0	0.06803671903224946
-0.0	0.014659103633418706	-0.06120527611664467	-0.0	-0.27953200793233385	-0.018426819554814632	0.0	-0.0	-0.0	-0.03919197094260628	-0.0	-0.0	-0.0	0.0	-0.005642601036450084	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.20738042210365995	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.012924405407076633	-0.0	-0.07370644561827026
-0.0	0.07275920949757818	0.28072364073611816	0.0	0.2378438270604092	-0.0029106644526475847	-0.0	-0.0	-0.0	-0.004928647320959878	-0.0	0.0	0.0	-0.0	0.0026339882347196234	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.016245786317666825	-0.0	0.0	0.0	0.0	0.0	0.0	0.30013341445322417	-0.0	0.06803671903224946
0.0	0.07275920949757818	0.7081347868020718	0.0	0.3624373039280261	0.0025615509628488294	-0.0	-0.0	-0.0	-0.004928647320959878	-0.0	0.0	0.0	-0.0	0.0021257766128056914	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.2464492361631507	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.08965024068083319	-0.0	-0.07370644561827026
